Site,en_OE,en_EM,en_total,fr_OE,fr_EM,fr_total,zh_OE,zh_EM,zh_total,ru_OE,ru_EM,ru_total,de_OE,de_EM,de_total,es_OE,es_EM,es_total,ja_OE,ja_EM,ja_total
San Francisco,1180745423.104649,9078904493.1645,10259649916.269148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carrollton,471251815.30021155,496921210.31893224,968173025.6191437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216741065.28676,8581983282.845507,9798724348.132267,0.0,0.0,0.0
Ashburn,510821955.85715276,3176710125.2517533,3687532081.1089063,600483199.8605447,352898132.09303486,953381331.9535795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006214716.0003935,5549296235.819611,6555510951.820004,0.0,0.0,0.0
Haarlem,427024820.65059036,1697345097.313188,2124369917.9637785,695395419.4602122,2062421916.0411608,2757817335.5013733,414940313.2148,99171925.64994082,514112238.86474085,932063767.3868173,2481051879.6517873,3413115647.0386047,421641169.8403746,2185128924.4945717,2606770094.334946,429994255.49344414,553784750.013766,983779005.5072103,0.0,0.0,0.0
Singapore,536418155.81535816,2766586394.365435,3303004550.1807933,557147792.9108745,320784958.2229643,877932751.1338388,524805620.6185803,615563724.4817404,1140369345.1003206,780718545.082484,2890606793.28215,3671325338.3646336,0.0,0.0,0.0,0.0,0.0,0.0,792518214.0962498,2485362622.812044,3277880836.9082937
