Site,impact potential/acid/kg so2-eq,impact potential/eutr/kg n eq,impact potential/etox/ctue,impact potential/gcc/kg co2 eq,impact potential/hnc/ctuh,impact potential/hrsp/kg pm2.5 eq,impact potential/hc/ctuh,impact potential/htox/ctuh,impact potential/ozon/kg cfc11-eq,impact potential/smog/kg o3 eq
Ashburn,23201.0019386472,36892.1594992913,81304763.3270578,3176710.12525175,0.007869020991478,21536.3671424745,0.000666417471586,0.008535438463064,2.30941221476144,110931.870558658
Carrollton,3629.24834479539,5770.90632347645,12718208.3993182,496921.210318932,0.001230922331889,3368.8555783676,0.000104245261135,0.001335167593024,0.361252952783548,17352.6690215662
Haarlem,12396.5062409325,19711.8161829313,43441874.1340006,1697345.09731319,0.004204489447863,11507.0767372325,0.000356072913033,0.004560562360896,1.23393993970091,59271.9068484734
San Francisco,66307.4918521298,105436.24675672,232365608.438136,9078904.4931645,0.022489332428679,61550.0353217599,0.00190459322335,0.024393925652032,6.60020338856146,317038.640083798
Singapore,20205.676239981,32129.2603055532,70808050.8289735,2766586.39436544,0.006853104486603,18755.951273869,0.000580380783,0.007433485269603,2.01125949816836,96610.2010219665
