Language,kg-CO2,Total MW,kg-CO2/kW
French,4589131419.0,386.0,11885.0
Japanese,3277880837.0,227.0,14434.0
Russian,7084440985.0,453.0,15628.0
Spanish,17338014305.0,806.0,21501.0
English,20342729491.0,577.0,35254.0
Chinese,1654481584.0,4.0,403214.0
German,2606770094.0,6.0,438197.0
