region, de,en,es,fr,ja,ru,zh,Total
California,0.0,1301548.6621853858,0.0,0.0,0.0,0.0,0.0,1301548.6621853858
Ercot, 0.0,519466.05741961295,1341227.0543348491,0.0,0.0,0.0,0.0,1860693.1117544621
Midatlantic, 0.0,563084.658429265,1109161.5447790623,661919.2335196732,0.0,0.0,0.0,2334165.4367280006
Netherlands,464779.69746013725,470714.1549414843,473987.3956177011,766542.016744338,0.0,1027424.1388325616,457393.26952584094,3660840.6731220633
Singapore,0.0,591299.6310734395,0.0,614150.1379662082,873601.5411368683,860594.6362456214,578499.0058461949,3518144.9522683322
Total,464779.69746013725,3446113.1640491877,2924375.9947316125,2042611.3882302195,873601.5411368683,1888018.775078183,1035892.2753720358,12675392.836058244
