Site,de,en,es,fr,ja,ru,zh
Ashburn,0,3176710125.25175,5549296235.81961,352898132.093035,0,0,0
Carrollton,0,496921210.318932,8581983282.84551,0,0,0,0
Haarlem,2185128924.49457,1697345097.31319,553784750.013766,2062421916.04116,0,2481051879.65179,99171925.6499408
San Francisco,0,9078904493.1645,0,0,0,0,0
Singapore,0,2766586394.36544,0,320784958.222964,2485362622.81204,2890606793.28215,615563724.48174
