loc,RL,NoRL
sin,22698.90591882114,21982.199157560975
sfo,24205.98707028456,17613.60939349594
ams,14856.792599065042,17530.592163577236
car,13457.44075691057,19658.168391382114
ash,19846.475904268296,18837.673155040655\
